PTRt-12,PTRt-11,PTRt-10,PTRt-9,PTRt-8,PTRt-7,PTRt-6,PTRt-5,PTRt-4,PTRt-3,PTRt-2,PTRt-1
10.26,7.49,8.55,8.42,8.21,12.79,7.87,10.26,7.38,8.19,8.8,8.75
7.49,8.55,8.42,8.21,12.79,7.87,10.26,7.38,8.19,8.8,8.75,12.79
8.55,8.42,8.21,12.79,7.87,10.26,7.38,8.19,8.8,8.75,12.79,7.84
8.42,8.21,12.79,7.87,10.26,7.38,8.19,8.8,8.75,12.79,7.84,10.32
8.21,12.79,7.87,10.26,7.38,8.19,8.8,8.75,12.79,7.84,10.32,7.33
12.79,7.87,10.26,7.38,8.19,8.8,8.75,12.79,7.84,10.32,7.33,7.86
7.87,10.26,7.38,8.19,8.8,8.75,12.79,7.84,10.32,7.33,7.86,9.41
10.26,7.38,8.19,8.8,8.75,12.79,7.84,10.32,7.33,7.86,9.41,9.06
7.38,8.19,8.8,8.75,12.79,7.84,10.32,7.33,7.86,9.41,9.06,12.92
8.19,8.8,8.75,12.79,7.84,10.32,7.33,7.86,9.41,9.06,12.92,7.82
8.8,8.75,12.79,7.84,10.32,7.33,7.86,9.41,9.06,12.92,7.82,10.43
8.75,12.79,7.84,10.32,7.33,7.86,9.41,9.06,12.92,7.82,10.43,7.49
12.79,7.84,10.32,7.33,7.86,9.41,9.06,12.92,7.82,10.43,7.49,7.9
7.84,10.32,7.33,7.86,9.41,9.06,12.92,7.82,10.43,7.49,7.9,9.51
10.32,7.33,7.86,9.41,9.06,12.92,7.82,10.43,7.49,7.9,9.51,8.24
7.33,7.86,9.41,9.06,12.92,7.82,10.43,7.49,7.9,9.51,8.24,13.09
7.86,9.41,9.06,12.92,7.82,10.43,7.49,7.9,9.51,8.24,13.09,7.71
9.41,9.06,12.92,7.82,10.43,7.49,7.9,9.51,8.24,13.09,7.71,10.42
9.06,12.92,7.82,10.43,7.49,7.9,9.51,8.24,13.09,7.71,10.42,7.66
12.92,7.82,10.43,7.49,7.9,9.51,8.24,13.09,7.71,10.42,7.66,8.44
7.82,10.43,7.49,7.9,9.51,8.24,13.09,7.71,10.42,7.66,8.44,8.99
10.43,7.49,7.9,9.51,8.24,13.09,7.71,10.42,7.66,8.44,8.99,7.41
7.49,7.9,9.51,8.24,13.09,7.71,10.42,7.66,8.44,8.99,7.41,13.24
7.9,9.51,8.24,13.09,7.71,10.42,7.66,8.44,8.99,7.41,13.24,7.68
9.51,8.24,13.09,7.71,10.42,7.66,8.44,8.99,7.41,13.24,7.68,10.48
8.24,13.09,7.71,10.42,7.66,8.44,8.99,7.41,13.24,7.68,10.48,7.84
13.09,7.71,10.42,7.66,8.44,8.99,7.41,13.24,7.68,10.48,7.84,8.73
7.71,10.42,7.66,8.44,8.99,7.41,13.24,7.68,10.48,7.84,8.73,8.89
10.42,7.66,8.44,8.99,7.41,13.24,7.68,10.48,7.84,8.73,8.89,7.54
7.66,8.44,8.99,7.41,13.24,7.68,10.48,7.84,8.73,8.89,7.54,13.4
8.44,8.99,7.41,13.24,7.68,10.48,7.84,8.73,8.89,7.54,13.4,7.77
8.99,7.41,13.24,7.68,10.48,7.84,8.73,8.89,7.54,13.4,7.77,10.51
7.41,13.24,7.68,10.48,7.84,8.73,8.89,7.54,13.4,7.77,10.51,8.01
13.24,7.68,10.48,7.84,8.73,8.89,7.54,13.4,7.77,10.51,8.01,8.87
7.68,10.48,7.84,8.73,8.89,7.54,13.4,7.77,10.51,8.01,8.87,9.15
10.48,7.84,8.73,8.89,7.54,13.4,7.77,10.51,8.01,8.87,9.15,8.42
7.84,8.73,8.89,7.54,13.4,7.77,10.51,8.01,8.87,9.15,8.42,13.43
8.73,8.89,7.54,13.4,7.77,10.51,8.01,8.87,9.15,8.42,13.43,7.84
8.89,7.54,13.4,7.77,10.51,8.01,8.87,9.15,8.42,13.43,7.84,10.68
7.54,13.4,7.77,10.51,8.01,8.87,9.15,8.42,13.43,7.84,10.68,8.19
13.4,7.77,10.51,8.01,8.87,9.15,8.42,13.43,7.84,10.68,8.19,8.76
