DT,MLP,MPC,SFL,SFG,IV,DV,TNV,BSI,PTR,MHI,MSP
2013-03-18,159.0621678,5.889281508,36.39837566,62.6112439,31.91,55.83,5.3343,0.792149051,15.24,0.490405117,122.4476
2013-03-20,138.7896825,3.700850311,25.1,74.9,38.59,43.7,5.3837,3.173634083,11.52,3.176972281,124.5541
2013-03-25,512.864494,4.753833714,33.51196737,64.55787789,47.25,42.49,6.627579723,4.480151229,14.25,7.292110874,191.8146804
2013-03-28,140.1136364,3.721287765,38,62,40.63,43.65,5.968,5.236294896,11.96,1.663113006,135.9406
2013-04-05,213.5292108,3.22684737,28.58,71.42,78.29,13.03,6.4156,0.680529301,14.01,8.933901919,207.5261
2013-04-10,263.7987013,3.50877193,35.08845094,65.419413,47.71,35.56,6.8431,2.854442344,16.59,3.304904051,216.1031
2013-04-15,133.9914089,4.200014668,30.78226945,68.44315601,31.51,55.42,6.469673201,6.29489603,10.72,6.039983813,169.1799662
2013-04-18,163.1668558,5.018828478,24.54829684,65.50859368,32.37,55.05,5.3623,5.279205122,15.85,0.490405117,115.3266
2013-04-20,141.0377358,3.174603175,24.33,75.67,37.59,44.71,5.3855,2.661517752,11.59,3.176972281,128.8291
2013-04-25,490.1477833,5.011679457,28.77746528,64.36408188,44.64,45.33,5.760232695,4.480151229,15.54,7.292110874,141.4824618
