DT,MLP,MPC,SFL,SFG,IV,DV,TNV,BSI,PTR,MHI,MSP
2013-01-20,81.54761905,5.459439059,23.09667,76.9033,51.78,38.19,4.1498,9.571150097,6.03,6.70212766,73.1886
2013-01-25,79.80929078,4.170141785,23.09667,76.9033,64.92,27.38,3.7158,9.766081871,8.47,2.510638298,76.7139
2013-01-28,127.6335312,4.102564103,23.09667,76.9033,38.38,48.38,3.5226,8.771929825,10.34,4.617021277,115.3031
2013-02-05,220.3488372,4.175365344,26.64,73.36,44.27,43.71,3.6515,8.693957115,13.21,7.276595745,210.115
2013-02-10,91.55759162,3.849114704,25.33667,74.66333,45.89,37.45,4.3721,5.828460039,8.12,2.489361702,83.3417
2013-02-15,136.6951567,3.393995175,26.01,73.99,40.36,43.42,4.2401,8.518518519,10.6,8.106382979,126.3476
2013-02-18,91.7221223,3.501389588,23.36,76.64,48.22666667,39.32666667,3.9264,8.050682261,7.69,3.234042553,112.2942
2013-02-20,80.03592824,5.003753128,25.33667,74.66333,52.31,37.97,4.179,9.571150097,6.34,6.70212766,65.6823
2013-02-25,80.35309657,3.583091315,25.33667,74.66333,68.02,24.67,3.5855,9.766081871,8.88,2.510638298,74.0744
2013-02-28,128.9079267,4.921259843,25.33667,74.66333,38.51,48.74,3.5302,8.771929825,10.66,4.617021277,114.2041
2013-03-05,223.3415731,4.103852596,25.79,74.21,47.17,40.86,3.6678,8.693957115,13.21,7.276595745,210.6409
2013-03-10,92.01388889,3.846893776,24.82,75.18,44.22,39.24,4.3747,5.828460039,8.19,2.489361702,84.3793
2013-03-15,136.9034029,3.227888961,23.17,76.83,41.98,42.56,4.2585,8.518518519,10.59,8.106382979,126.1903
2013-03-18,93.02976013,3.804347826,25.5,74.5,49.265,38.59,3.919666667,8.050682261,7.68,3.234042553,113.0988
2013-03-20,82.44076538,4.696295468,24.82,75.18,52.13,37.93,4.1521,9.571150097,7.34,6.70212766,67.0155
2013-03-25,81.51169114,5.212720533,24.82,75.18,71.19,22.31,3.5347,9.766081871,9.2,2.510638298,81.5944
2013-03-28,129.9923489,4.351892127,24.82,75.18,38.9,48.64,3.5302,8.771929825,10.9,4.617021277,108.7724
2013-04-05,224.1927979,4.051172708,25.85,74.15,49.95,38.13,3.6836,8.693957115,13.08,7.276595745,210.0553
2013-04-10,94.42311675,3.573981415,22.59333,77.40667,44.64,38.21,4.3844,5.828460039,8.14,2.489361702,85.6628
2013-04-15,137.3184119,3.226977537,21.52,78.48,42.37,41.94,4.2942,8.518518519,10.46,8.106382979,128.4437
2013-04-18,94.60227273,3.47826087,20.41,79.59,50.495,37.15166667,3.928883333,8.050682261,7.74,3.234042553,115.3882
2013-04-20,84.19811321,4.347826087,22.59333,77.40667,52.18,37.5,4.0976,9.571150097,8.03,6.70212766,67.2939
2013-04-25,82.76874053,3.706449222,22.59333,77.40667,73.27,20.21,3.5252,9.766081871,9.29,2.510638298,88.2841
2013-04-28,132.3120387,5.020333352,22.59333,77.40667,40.56,46.92,3.5883,8.771929825,10.98,4.617021277,112.5895
2013-05-05,224.2443277,4,23.96,76.04,53.12,35.07,3.7241,8.693957115,12.96,7.276595745,214.7196
2013-05-10,94.23491379,3.77213241,22.1733,77.82667,44.87,36.98,4.382,5.828460039,7.93,2.489361702,87.5245
2013-05-15,137.0379602,3.405797101,22.01,77.99,44.6,39.94,4.3021,8.518518519,10.4,8.106382979,132.679
2013-05-18,95.14285714,3.783783784,20.55,79.45,51.77833333,35.51666667,3.933133333,8.050682261,7.58,3.234042553,117.7386
2013-05-20,88.02816901,5.272407733,22.1733,77.82667,52.8,36.76,4.079,9.571150097,8.46,6.70212766,67.135
